HTTrack3.49-2 launched on Sun, 31 Dec 2023 18:15:05 at http://localhost/blogs/iLatish/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/*
(webhttrack -q -%i -w http://localhost/blogs/iLatish/ -O "/home/latish/websites/httrack/latish-sherigar.com" -n -%P -N0 -s2 -p7 -D -a -K0 -c4 -%k -A25000 -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -%s -%u )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=51 to http://localhost/blogs/iLatish/indian-it-talent-%e2%80%93-the-kadwa-sach/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=47
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=47 to http://localhost/blogs/iLatish/paisa-passion/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=46
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=46 to http://localhost/blogs/iLatish/kras-for-the-govt/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=45
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=45 to http://localhost/blogs/iLatish/pressure-managers/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=44
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=44 to http://localhost/blogs/iLatish/indiavolunteerportalorg/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=42
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=42 to http://localhost/blogs/iLatish/starting-your-own-company/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=41
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=41 to http://localhost/blogs/iLatish/official-rules/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=40
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=40 to http://localhost/blogs/iLatish/meetings/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=39
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=39 to http://localhost/blogs/iLatish/marriage-an-end-to-bachelors-freedom/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=38
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=38 to http://localhost/blogs/iLatish/insanely-intrested/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=37
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=37 to http://localhost/blogs/iLatish/xkcdcom/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=36
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=36 to http://localhost/blogs/iLatish/giveindiaorg/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=34
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=34 to http://localhost/blogs/iLatish/my-new-website/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=33
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=33 to http://localhost/blogs/iLatish/indian-companiesindian-values/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=31
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=31 to http://localhost/blogs/iLatish/some-tech-gyan/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=29
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=29 to http://localhost/blogs/iLatish/canteen-menu/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=28
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=28 to http://localhost/blogs/iLatish/where-have-the-indians-gone/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=27
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=27 to http://localhost/blogs/iLatish/matrix-reexplained/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=26
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=26 to http://localhost/blogs/iLatish/mailariabeware-of-it/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=25
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=25 to http://localhost/blogs/iLatish/never-give-up/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=24
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=24 to http://localhost/blogs/iLatish/processes-and-my-office-canteen/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=23
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=23 to http://localhost/blogs/iLatish/diwali-and-celebrations/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=21
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=21 to http://localhost/blogs/iLatish/thought-for-religious-fanatics/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=20
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=20 to http://localhost/blogs/iLatish/do-you-really-need-to-drinksmoke/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=19
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=19 to http://localhost/blogs/iLatish/working-overtime/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=18
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=18 to http://localhost/blogs/iLatish/sms-voting-and-elections/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=17
18:23:24	Warning: 	File has moved from localhost/blogs/iLatish/?p=17 to http://localhost/blogs/iLatish/enviornmental-friendly-ganesha-idols/
18:23:24	Warning: 	Moved Permanently for localhost/blogs/iLatish/?p=16
